#Wavelength Flux Error
3727.2 51.0942955 3.192091669
3728 53.52884293 3.374998142
3728.8 55.1943512 3.527142285
3729.6 50.58433914 3.254623819
3730.4 44.29352951 3.433135742
3731.2 53.35503387 3.285766474
3732 48.52267838 3.214247916
3732.8 47.45695877 3.511513284
3733.6 45.79563522 3.430994654
3734.4 53.62337875 3.375117444
3735.2 49.48070526 3.287569967
3736 46.3766098 3.075733575
3736.8 45.75509262 3.066177491
3737.6 49.4970665 3.091198716
3738.4 54.35095596 3.020924685
3739.2 53.35277176 3.271534841
3740 48.72716904 3.22042523
3740.8 42.24798965 3.085361295
3741.6 47.67275238 3.142674831
3742.4 42.67417145 3.012774576
3743.2 36.59915924 2.966749156
3744 26.55348778 2.78490562
3744.8 21.41965866 2.747549104
3745.6 16.86880493 2.814369597
3746.4 11.93469524 2.307946929
3747.2 4.778412342 2.021405288
3748 6.864953041 2.013143043
3748.8 3.791074514 1.913192741
3749.6 9.958934784 2.079243939
3750.4 18.08189964 2.323213593
3751.2 28.53156853 2.456579442
3752 43.63666534 2.933162057
3752.8 44.08997726 2.671760423
3753.6 46.84140015 2.924359472
3754.4 45.05186844 2.810071355
3755.2 37.54550934 2.570356888
3756 35.67967224 2.456713102
3756.8 27.03253174 2.45161064
3757.6 19.77478981 2.462946505
3758.4 12.51770687 2.468967519
3759.2 15.35074043 2.339762774
3760 6.506301403 2.22655246
3760.8 6.713057041 2.231796279
3761.6 7.453837395 2.128491577
3762.4 19.81763077 2.315958052
3763.2 23.92845535 2.195662102
3764 28.62561035 2.242325052
3764.8 19.10094643 2.216111833
3765.6 8.484901428 1.994074556
3766.4 0.318517685 1.830550859
3767.2 -0.153641924 1.795463303
3768 4.33217001 1.865213436
3768.8 1.106461763 1.672299554
3769.6 0.969144881 1.665756684
3770.4 4.081233501 1.69929288
3771.2 1.984404922 1.648668495
3772 4.094084263 1.676582924
3772.8 6.266804218 2.039317923
3773.6 7.254772186 2.050186729
3774.4 5.193686485 2.007892773
3775.2 15.48225403 2.21054411
3776 25.57136917 2.169524164
3776.8 25.90725327 2.147667935
3777.6 10.51635456 2.123317008
3778.4 5.473938465 1.925955596
3779.2 2.292465925 1.911104347
3780 4.878566265 1.650603725
3780.8 1.13067317 1.543752886
3781.6 1.458757281 1.598001188
3782.4 7.429184437 1.658699576
3783.2 3.371366501 1.626550219
3784 7.177470207 1.75014738
3784.8 4.574324131 1.604643796
3785.6 8.73184967 1.628717584
3786.4 3.765259027 1.73704266
3787.2 9.932579041 1.918380808
3788 27.88419724 2.321085058
3788.8 45.00429535 2.706560378
3789.6 50.66370773 2.82556532
3790.4 54.34093857 3.005789759
3791.2 48.55584335 2.654641637
3792 49.10819626 2.675289971
3792.8 49.35293961 2.518244642
3793.6 47.10580444 2.476155272
3794.4 47.37902451 2.480185797
3795.2 51.66434479 2.659356511
3796 44.56629944 2.701831536
3796.8 44.03462219 2.438894897
3797.6 43.71297836 2.383052075
3798.4 41.72327805 2.509401293
3799.2 46.21741486 2.632317902
3800 47.23180008 2.537566976
3800.8 49.14406204 2.709728202
3801.6 43.30312347 2.68011994
3802.4 45.94295502 2.649097419
3803.2 46.20808411 2.60587505
3804 38.65149307 2.598464744
3804.8 42.0789566 2.659295278
3805.6 45.05299377 2.689342672
3806.4 29.72242546 2.571674248
3807.2 34.59514236 2.563307524
3808 42.04812241 2.614065903
3808.8 39.62495041 2.411250314
3809.6 40.2570343 2.510749133
3810.4 40.3437233 2.530382285
3811.2 34.43831253 2.433474459
3812 34.62539291 2.419196231
3812.8 36.07606506 2.349442409
3813.6 38.56652832 2.375931024
3814.4 35.15125656 2.505637359
3815.2 32.92437363 2.374456646
3816 33.44752502 2.417092171
3816.8 35.42361069 2.519463672
