# Boroson optical Fe template
# log10(wave)  flux (erg/s/cm2/A)
3.6100673887  0.00000e+00
3.6102212876  0.00000e+00
3.6103751865  0.00000e+00
3.6105290854  0.00000e+00
3.6106829843  0.00000e+00
3.6108368832  0.00000e+00
3.6109907821  0.00000e+00
3.611144681  0.00000e+00
3.6112985799  0.00000e+00
3.6114524788  0.00000e+00
3.6116063777  0.00000e+00
3.6117602766  0.00000e+00
3.6119141755  0.00000e+00
3.6120680744  0.00000e+00
3.6122219733  0.00000e+00
3.6123758722  0.00000e+00
3.6125297711  0.00000e+00
3.61268367  0.00000e+00
3.6128375689  0.00000e+00
3.6129914678  0.00000e+00
3.6131453667  0.00000e+00
3.6132992656  0.00000e+00
3.6134531645  0.00000e+00
3.6136070634  0.00000e+00
3.6137609623  0.00000e+00
3.6139148612  0.00000e+00
3.6140687601  0.00000e+00
3.614222659  0.00000e+00
3.6143765579  0.00000e+00
3.6145304568  0.00000e+00
3.6146843557  0.00000e+00
3.6148382546  0.00000e+00
3.6149921535  0.00000e+00
3.6151460524  0.00000e+00
3.6152999513  0.00000e+00
3.6154538502  0.00000e+00
3.6156077491  0.00000e+00
3.615761648  0.00000e+00
3.6159155469  0.00000e+00
3.6160694458  0.00000e+00
3.6162233447  0.00000e+00
3.6163772436  0.00000e+00
3.6165311425  0.00000e+00
3.6166850414  0.00000e+00
3.6168389403  0.00000e+00
3.6169928392  0.00000e+00
3.6171467381  0.00000e+00
3.617300637  0.00000e+00
3.6174545359  0.00000e+00
3.6176084348  0.00000e+00
3.6177623337  0.00000e+00
3.6179162326  0.00000e+00
3.6180701315  0.00000e+00
3.6182240304  0.00000e+00
3.6183779293  0.00000e+00
3.6185318282  0.00000e+00
3.6186857271  0.00000e+00
3.618839626  0.00000e+00
3.6189935249  0.00000e+00
3.6191474238  0.00000e+00
3.6193013227  0.00000e+00
3.6194552216  0.00000e+00
3.6196091205  0.00000e+00
3.6197630194  0.00000e+00
3.6199169183  0.00000e+00
3.6200708172  0.00000e+00
3.6202247161  0.00000e+00
3.620378615  0.00000e+00
3.6205325139  0.00000e+00
3.6206864128  0.00000e+00
3.6208403117  0.00000e+00
3.6209942106  0.00000e+00
3.6211481095  0.00000e+00
3.6213020084  0.00000e+00
3.6214559073  0.00000e+00
3.6216098062  0.00000e+00
3.6217637051  0.00000e+00
3.621917604  0.00000e+00
3.6220715029  0.00000e+00
3.6222254018  0.00000e+00
3.6223793007  0.00000e+00
3.6225331996  0.00000e+00
3.6226870985  0.00000e+00
3.6228409974  0.00000e+00
3.6229948963  0.00000e+00
3.6231487952  0.00000e+00
3.6233026941  0.00000e+00
3.623456593  0.00000e+00
3.6236104919  0.00000e+00
3.6237643908  0.00000e+00
3.6239182897  0.00000e+00
